Content,Count,Percentage
多么,1,0.0038160656363289453%
寂寞,1,0.0038160656363289453%
叫,4,0.015264262545315781%
厕所,2,0.0076321312726578905%
幽灵,3,0.011448196908986834%
行动,3,0.011448196908986834%
😫,3,0.011448196908986834%
快点,1,0.0038160656363289453%
弹幕,20,0.0763213127265789%
所以,2,0.0076321312726578905%
啊哈,1,0.0038160656363289453%
辛苦,6,0.02289639381797367%
给,3,0.011448196908986834%
君点,1,0.0038160656363289453%
关注,1,0.0038160656363289453%
马上,1,0.0038160656363289453%
200,1,0.0038160656363289453%
模拟城市,2,0.0076321312726578905%
后面,2,0.0076321312726578905%
很卡,2,0.0076321312726578905%
陈嫂,1,0.0038160656363289453%
ID,1,0.0038160656363289453%
多少,3,0.011448196908986834%
假,2,0.0076321312726578905%
生活,2,0.0076321312726578905%
那,5,0.019080328181644724%
不看,1,0.0038160656363289453%
咯,4,0.015264262545315781%
嘿嘿,17,0.06487311581759206%
荒野,3,0.011448196908986834%
弃坑,2,0.0076321312726578905%
别以为,1,0.0038160656363289453%
先发,1,0.0038160656363289453%
优酷,3,0.011448196908986834%
字,1,0.0038160656363289453%
多,6,0.02289639381797367%
刷,6,0.02289639381797367%
越,1,0.0038160656363289453%
再见,1,0.0038160656363289453%
时候,5,0.019080328181644724%
马桶,1,0.0038160656363289453%
杀手,1,0.0038160656363289453%
再,2,0.0076321312726578905%
拍,2,0.0076321312726578905%
一期,2,0.0076321312726578905%
儿子,3,0.011448196908986834%
悠然,2,0.0076321312726578905%
小天,2,0.0076321312726578905%
素质,1,0.0038160656363289453%
城市,2,0.0076321312726578905%
经营,1,0.0038160656363289453%
诶,1,0.0038160656363289453%
嘿,1,0.0038160656363289453%
个头,1,0.0038160656363289453%
先把翔,1,0.0038160656363289453%
旧,1,0.0038160656363289453%
还,39,0.14882655981682885%
没填,1,0.0038160656363289453%
完,1,0.0038160656363289453%
开新坑,2,0.0076321312726578905%
第三,3,0.011448196908986834%
德玛,1,0.0038160656363289453%
西亚,1,0.0038160656363289453%
之翼,1,0.0038160656363289453%
刷起来,1,0.0038160656363289453%
地图,1,0.0038160656363289453%
高,4,0.015264262545315781%
配置,1,0.0038160656363289453%
电脑,1,0.0038160656363289453%
扛不住,1,0.0038160656363289453%
告诉,1,0.0038160656363289453%
老铁们,1,0.0038160656363289453%
欠,1,0.0038160656363289453%
坨翔,1,0.0038160656363289453%
姜东,1,0.0038160656363289453%
下午,1,0.0038160656363289453%
两点,1,0.0038160656363289453%
没有,12,0.04579278763594734%
北冥,1,0.0038160656363289453%
外设,1,0.0038160656363289453%
广告,2,0.0076321312726578905%
豪哥,1,0.0038160656363289453%
其实,1,0.0038160656363289453%
←,4,0.015264262545315781%
_,2,0.0076321312726578905%
丑,2,0.0076321312726578905%
倒数,5,0.019080328181644724%
播,1,0.0038160656363289453%
呀,3,0.011448196908986834%
丨,1,0.0038160656363289453%
全球,1,0.0038160656363289453%
第一条,1,0.0038160656363289453%
填完,1,0.0038160656363289453%
小心,2,0.0076321312726578905%
嫂子,1,0.0038160656363289453%
打,5,0.019080328181644724%
夕阳西下,1,0.0038160656363289453%
断肠人,1,0.0038160656363289453%
天涯,1,0.0038160656363289453%
12,1,0.0038160656363289453%
日来,1,0.0038160656363289453%
盗墓,1,0.0038160656363289453%
好少,1,0.0038160656363289453%
惊呆,1,0.0038160656363289453%
饥饿,1,0.0038160656363289453%
要,10,0.03816065636328945%
找,4,0.015264262545315781%
：,107,0.40831902308719714%
请,10,0.03816065636328945%
其它,1,0.0038160656363289453%
up,1,0.0038160656363289453%
主,1,0.0038160656363289453%
双人,1,0.0038160656363289453%
本,1,0.0038160656363289453%
早就,1,0.0038160656363289453%
一把,1,0.0038160656363289453%
以为,1,0.0038160656363289453%
真的,5,0.019080328181644724%
脱,1,0.0038160656363289453%
裤子,1,0.0038160656363289453%
性感,2,0.0076321312726578905%
屁屁,1,0.0038160656363289453%
插进去,1,0.0038160656363289453%
莱气,1,0.0038160656363289453%
病毒,1,0.0038160656363289453%
Rrrr,1,0.0038160656363289453%
111,2,0.0076321312726578905%
付出,2,0.0076321312726578905%
几个,1,0.0038160656363289453%
看过,2,0.0076321312726578905%
这集,1,0.0038160656363289453%
最后,3,0.011448196908986834%
宝藏,1,0.0038160656363289453%
找到,4,0.015264262545315781%
满满的,1,0.0038160656363289453%
回忆,1,0.0038160656363289453%
888,1,0.0038160656363289453%
等到,2,0.0076321312726578905%
拉拉,2,0.0076321312726578905%
紫,1,0.0038160656363289453%
z,1,0.0038160656363289453%
m,1,0.0038160656363289453%
la,2,0.0076321312726578905%
哈尔滨市,1,0.0038160656363289453%
事,1,0.0038160656363289453%
真人,1,0.0038160656363289453%
4,1,0.0038160656363289453%
高清,1,0.0038160656363289453%
跟,2,0.0076321312726578905%
省流,1,0.0038160656363289453%
一样,5,0.019080328181644724%
温馨,1,0.0038160656363289453%
有情,1,0.0038160656363289453%
好萌,1,0.0038160656363289453%
可爱,4,0.015264262545315781%
16839765830,1,0.0038160656363289453%
Good,1,0.0038160656363289453%
半截,1,0.0038160656363289453%
路,1,0.0038160656363289453%
真实性,1,0.0038160656363289453%
有待,1,0.0038160656363289453%
商榷,1,0.0038160656363289453%
白银,3,0.011448196908986834%
狗,1,0.0038160656363289453%
......,2,0.0076321312726578905%
尽管,1,0.0038160656363289453%
发过,1,0.0038160656363289453%
相,1,0.0038160656363289453%
😏,6,0.02289639381797367%
😚,1,0.0038160656363289453%
😒,1,0.0038160656363289453%
😨,9,0.03434459072696051%
把,7,0.026712459454302614%
修成,1,0.0038160656363289453%
大妈,1,0.0038160656363289453%
讨厌,1,0.0038160656363289453%
寸草不生,3,0.011448196908986834%
段友,43,0.16409082236214464%
爸爸,47,0.1793550849074604%
此,34,0.12974623163518412%
哆嗦,32,0.12211410036252625%
小儿,32,0.12211410036252625%
快快,32,0.12211410036252625%
南京,2,0.0076321312726578905%
中山,3,0.011448196908986834%
学校,1,0.0038160656363289453%
抖友,19,0.07250524709024996%
天王,5,0.019080328181644724%
盖地,5,0.019080328181644724%
虎,5,0.019080328181644724%
出征,5,0.019080328181644724%
清风,9,0.03434459072696051%
拂,8,0.030528525090631562%
杨柳,9,0.03434459072696051%
抖音,3,0.011448196908986834%
回家,2,0.0076321312726578905%
写,1,0.0038160656363289453%
作业,1,0.0038160656363289453%
内涵,2,0.0076321312726578905%
段子,2,0.0076321312726578905%
快手,1,0.0038160656363289453%
滚,1,0.0038160656363289453%
一边,1,0.0038160656363289453%
滴,10,0.03816065636328945%
滴滴,10,0.03816065636328945%
音乐,3,0.011448196908986834%
版权,3,0.011448196908986834%
让,6,0.02289639381797367%
她,1,0.0038160656363289453%
恢复,1,0.0038160656363289453%
的话,3,0.011448196908986834%
华晨,1,0.0038160656363289453%
宇,1,0.0038160656363289453%
绝对,3,0.011448196908986834%
受欢迎,1,0.0038160656363289453%
听,1,0.0038160656363289453%
女声,1,0.0038160656363289453%
唱,1,0.0038160656363289453%
首歌曲,1,0.0038160656363289453%
QQ,1,0.0038160656363289453%
网易,1,0.0038160656363289453%
虾米,1,0.0038160656363289453%
下载,4,0.015264262545315781%
完毕,1,0.0038160656363289453%
女主,1,0.0038160656363289453%
报道,1,0.0038160656363289453%
原唱,5,0.019080328181644724%
纯属,2,0.0076321312726578905%
鬼,1,0.0038160656363289453%
嚎,1,0.0038160656363289453%
先,1,0.0038160656363289453%
卧槽,2,0.0076321312726578905%
全是,1,0.0038160656363289453%
小鸡,1,0.0038160656363289453%
炖,1,0.0038160656363289453%
蘑菇,1,0.0038160656363289453%
爱,6,0.02289639381797367%
报,1,0.0038160656363289453%
lllllll,1,0.0038160656363289453%
所有,2,0.0076321312726578905%
播放器,1,0.0038160656363289453%
只能,2,0.0076321312726578905%
听歌,1,0.0038160656363289453%
V,1,0.0038160656363289453%
二周目,1,0.0038160656363289453%
被,5,0.019080328181644724%
迷住,1,0.0038160656363289453%
哥,2,0.0076321312726578905%
等,4,0.015264262545315781%
红灯,1,0.0038160656363289453%
而是,1,0.0038160656363289453%
哪里,3,0.011448196908986834%
哪能,1,0.0038160656363289453%
本地,1,0.0038160656363289453%
文件夹,1,0.0038160656363289453%
里,1,0.0038160656363289453%
重命名,1,0.0038160656363289453%
改,1,0.0038160656363289453%
一下,4,0.015264262545315781%
格式,1,0.0038160656363289453%
MP4,1,0.0038160656363289453%
改成,1,0.0038160656363289453%
MP3,1,0.0038160656363289453%
OK,1,0.0038160656363289453%
比,3,0.011448196908986834%
这才,3,0.011448196908986834%
D,1,0.0038160656363289453%
DD,1,0.0038160656363289453%
唱歌,1,0.0038160656363289453%
打卡,4,0.015264262545315781%
笨蛋,1,0.0038160656363289453%
上面,2,0.0076321312726578905%
有个,1,0.0038160656363289453%
嘛,1,0.0038160656363289453%
douyi,1,0.0038160656363289453%
搞不懂,2,0.0076321312726578905%
吵,1,0.0038160656363289453%
版本,1,0.0038160656363289453%
涉及,1,0.0038160656363289453%
侵权,1,0.0038160656363289453%
问题,2,0.0076321312726578905%
标明,1,0.0038160656363289453%
大家,1,0.0038160656363289453%
科普,1,0.0038160656363289453%
翻唱,1,0.0038160656363289453%
火,1,0.0038160656363289453%
买,3,0.011448196908986834%
收费,1,0.0038160656363289453%
头次,1,0.0038160656363289453%
听说,1,0.0038160656363289453%
吹,1,0.0038160656363289453%
敢,1,0.0038160656363289453%
问,2,0.0076321312726578905%
哪,3,0.011448196908986834%
太子,2,0.0076321312726578905%
唱出,1,0.0038160656363289453%
于,1,0.0038160656363289453%
文文,1,0.0038160656363289453%
那种,1,0.0038160656363289453%
感情,1,0.0038160656363289453%
调,1,0.0038160656363289453%
深大,1,0.0038160656363289453%
可以,4,0.015264262545315781%
橄榄,1,0.0038160656363289453%
罐头,1,0.0038160656363289453%
偷懒,1,0.0038160656363289453%
帥,1,0.0038160656363289453%
😁,1,0.0038160656363289453%
发错,2,0.0076321312726578905%
夏天,3,0.011448196908986834%
双,1,0.0038160656363289453%
叒,1,0.0038160656363289453%
叕,1,0.0038160656363289453%
水,1,0.0038160656363289453%
～,3,0.011448196908986834%
9999999999999999999999999999999999999999,1,0.0038160656363289453%
555555555555555555555555,1,0.0038160656363289453%
短,3,0.011448196908986834%
进度条,3,0.011448196908986834%
气死我了,1,0.0038160656363289453%
越来越,1,0.0038160656363289453%
好段,1,0.0038160656363289453%
qwq,1,0.0038160656363289453%
逗比,1,0.0038160656363289453%
伤人,1,0.0038160656363289453%
20,1,0.0038160656363289453%
分钟,1,0.0038160656363289453%
拉面,3,0.011448196908986834%
🍜,1,0.0038160656363289453%
兰州,1,0.0038160656363289453%
死,10,0.03816065636328945%
🔥,1,0.0038160656363289453%
力,1,0.0038160656363289453%
支持,1,0.0038160656363289453%
还是,3,0.011448196908986834%
修好,1,0.0038160656363289453%
...,1,0.0038160656363289453%
西瓜,1,0.0038160656363289453%
🍉,1,0.0038160656363289453%
招,1,0.0038160656363289453%
惹,1,0.0038160656363289453%
BGM,1,0.0038160656363289453%
好评,3,0.011448196908986834%
这样,3,0.011448196908986834%
涛哥,3,0.011448196908986834%
出现,3,0.011448196908986834%
想红,1,0.0038160656363289453%
回归,4,0.015264262545315781%
好久不见,1,0.0038160656363289453%
已,4,0.015264262545315781%
开起,1,0.0038160656363289453%
4G,1,0.0038160656363289453%
使用,1,0.0038160656363289453%
江浙沪,1,0.0038160656363289453%
发来,1,0.0038160656363289453%
贺电,1,0.0038160656363289453%
国语,6,0.02289639381797367%
比较,2,0.0076321312726578905%
好看,4,0.015264262545315781%
想,6,0.02289639381797367%
英語,1,0.0038160656363289453%
😢,1,0.0038160656363289453%
TIE,1,0.0038160656363289453%
耶,2,0.0076321312726578905%
国语版,1,0.0038160656363289453%
英文版,1,0.0038160656363289453%
点,5,0.019080328181644724%
笨,1,0.0038160656363289453%
当然,1,0.0038160656363289453%
大爱,1,0.0038160656363289453%
老皮,1,0.0038160656363289453%
换,2,0.0076321312726578905%
英文,1,0.0038160656363289453%
=,2,0.0076321312726578905%
call,1,0.0038160656363289453%
me,1,0.0038160656363289453%
lxt,1,0.0038160656363289453%
6h,1,0.0038160656363289453%
一定,1,0.0038160656363289453%
卡,1,0.0038160656363289453%
地方,2,0.0076321312726578905%
6666666666666,1,0.0038160656363289453%
老黑,1,0.0038160656363289453%
啥意思,1,0.0038160656363289453%
无,3,0.011448196908986834%
开场,1,0.0038160656363289453%
动画,1,0.0038160656363289453%
语,1,0.0038160656363289453%
吖,1,0.0038160656363289453%
朱棣,1,0.0038160656363289453%
君王,1,0.0038160656363289453%
充电,1,0.0038160656363289453%
哪集,1,0.0038160656363289453%
懒,3,0.011448196908986834%
+,6,0.02289639381797367%
帮,3,0.011448196908986834%
