Content,Count,Percentage
系列,56,0.026766467352079416%
不如,56,0.026766467352079416%
靠,56,0.026766467352079416%
发,56,0.026766467352079416%
不过,56,0.026766467352079416%
美国,55,0.02628849472079229%
白,55,0.02628849472079229%
腿,55,0.02628849472079229%
..,55,0.02628849472079229%
意思,55,0.02628849472079229%
老子,55,0.02628849472079229%
看看,54,0.025810522089505156%
一点,54,0.025810522089505156%
投,54,0.025810522089505156%
后,54,0.025810522089505156%
a,54,0.025810522089505156%
干事,54,0.025810522089505156%
6666666666,53,0.025332549458218022%
喝,53,0.025332549458218022%
穿,53,0.025332549458218022%
前,52,0.024854576826930888%
因为,52,0.024854576826930888%
果然,52,0.024854576826930888%
起,52,0.024854576826930888%
但,52,0.024854576826930888%
bgm,52,0.024854576826930888%
求,52,0.024854576826930888%
有人,52,0.024854576826930888%
嘤,52,0.024854576826930888%
突然,51,0.024376604195643758%
干嘛,51,0.024376604195643758%
咋,51,0.024376604195643758%
他们,51,0.024376604195643758%
强,51,0.024376604195643758%
TM,51,0.024376604195643758%
手机,50,0.023898631564356624%
阿,50,0.023898631564356624%
冲,50,0.023898631564356624%
警察,50,0.023898631564356624%
拍,50,0.023898631564356624%
手,50,0.023898631564356624%
辅助,50,0.023898631564356624%
哥们,50,0.023898631564356624%
三,49,0.023420658933069494%
话,49,0.023420658933069494%
味道,49,0.023420658933069494%
表情,49,0.023420658933069494%
10,49,0.023420658933069494%
呕,49,0.023420658933069494%
中奖,49,0.023420658933069494%
帅,49,0.023420658933069494%
・,49,0.023420658933069494%
`,49,0.023420658933069494%
爽,49,0.023420658933069494%
爸爸,49,0.023420658933069494%
》,49,0.023420658933069494%
抢,49,0.023420658933069494%
任务,49,0.023420658933069494%
ノ,49,0.023420658933069494%
们,49,0.023420658933069494%
很多,48,0.02294268630178236%
之,48,0.02294268630178236%
今天,48,0.02294268630178236%
学,48,0.02294268630178236%
便宜,47,0.02246471367049523%
一起,47,0.02246471367049523%
操作,47,0.02246471367049523%
大爷,47,0.02246471367049523%
王,47,0.02246471367049523%
好好,47,0.02246471367049523%
搞,47,0.02246471367049523%
666666666666,47,0.02246471367049523%
闪闪,47,0.02246471367049523%
掉,46,0.021986741039208096%
水,46,0.021986741039208096%
只有,46,0.021986741039208096%
然后,46,0.021986741039208096%
变态,46,0.021986741039208096%
换,46,0.021986741039208096%
嗯,46,0.021986741039208096%
号,46,0.021986741039208096%
沙雕,46,0.021986741039208096%
算,46,0.021986741039208096%
对不起,46,0.021986741039208096%
卖,45,0.021508768407920962%
人家,45,0.021508768407920962%
当,45,0.021508768407920962%
快乐,45,0.021508768407920962%
拉低,45,0.021508768407920962%
牛批,45,0.021508768407920962%
